tenure,MonthlyCharges,TotalCharges,Contract,Churn
42,24.24,1018.08,One year,No
6,84.87,509.22,Month-to-month,Yes
1,47.89,47.89,Month-to-month,Yes
25,38.81,970.25,One year,No
15,38.74,581.1,Month-to-month,Yes
33,52.12,1719.96,Two year,Yes
22,35.12,772.64,Two year,Yes
4,43.69,174.76,Month-to-month,No
6,76.79,460.74,One year,No
26,42.37,1101.62,One year,No
8,105.02,840.16,One year,No
18,119.63,2153.34,Month-to-month,No
31,61.71,1913.01,One year,No
43,59.37,2552.91,Month-to-month,Yes
66,65.87,4347.42,One year,Yes
44,82.03,3609.32,One year,Yes
40,89.56,3582.4,Month-to-month,No
35,41.46,1451.1,One year,No
40,37.62,1504.8,One year,No
52,83.23,4327.96,Month-to-month,No
46,26.44,1216.24,One year,No
17,99.54,1692.18,Two year,Yes
3,119.96,359.88,Month-to-month,Yes
49,28.73,1407.77,Month-to-month,No
49,92.24,4519.76,One year,No
10,23.21,232.1,Month-to-month,No
59,101.02,5960.18,One year,No
2,116.99,233.98,Month-to-month,Yes
49,30.55,1496.95,Two year,No
18,92.8,1670.4,Two year,No
6,39.36,236.16,One year,No
65,112.87,7336.55,Month-to-month,Yes
51,32.29,1646.79,One year,No
2,45.62,91.24,Month-to-month,Yes
40,110.49,4419.6,Month-to-month,Yes
7,90.94,636.58,Two year,No
41,114.47,4693.27,Two year,No
38,36.47,1385.86,One year,No
5,55.26,276.3,Two year,No
43,109.85,4723.55,Two year,No
16,32.3,516.8,Two year,No
52,119.39,6208.28,Month-to-month,No
64,109.75,7024.0,Month-to-month,Yes
29,33.24,963.96,Two year,No
32,114.24,3655.68,Two year,Yes
24,119.67,2872.08,One year,Yes
19,99.76,1895.44,Month-to-month,Yes
37,41.43,1532.91,Two year,Yes
47,64.91,3050.77,Two year,Yes
48,27.96,1342.08,Two year,Yes
16,48.95,783.2,One year,Yes
71,106.13,7535.23,One year,No
32,91.37,2923.84,Two year,Yes
35,66.4,2324.0,Two year,Yes
29,119.67,3470.43,Month-to-month,No
15,41.03,615.45,Month-to-month,Yes
16,114.3,1828.8,One year,No
38,78.66,2989.08,Two year,No
9,101.7,915.3,One year,Yes
1,57.23,57.23,Two year,No
24,35.67,856.08,Month-to-month,Yes
59,35.46,2092.14,Month-to-month,Yes
46,76.99,3541.54,Two year,No
47,72.99,3430.53,Month-to-month,Yes
45,25.09,1129.05,One year,Yes
53,79.93,4236.29,Two year,No
51,103.36,5271.36,Month-to-month,Yes
38,40.78,1549.64,Two year,Yes
14,54.49,762.86,Two year,No
58,103.71,6015.18,Two year,No
66,46.15,3045.9,Two year,No
69,74.59,5146.71,Month-to-month,Yes
47,110.14,5176.58,One year,Yes
7,28.84,201.88,Two year,No
21,93.69,1967.49,One year,No
56,102.47,5738.32,Month-to-month,No
16,106.32,1701.12,Month-to-month,Yes
57,28.81,1642.17,Two year,Yes
2,80.82,161.64,One year,No
61,69.21,4221.81,Month-to-month,Yes
52,28.43,1478.36,One year,No
6,115.61,693.66,One year,No
15,103.48,1552.2,Month-to-month,Yes
47,24.39,1146.33,Month-to-month,Yes
38,34.81,1322.78,Month-to-month,Yes
31,48.11,1491.41,Month-to-month,Yes
51,73.11,3728.61,One year,Yes
58,41.3,2395.4,One year,Yes
5,56.11,280.55,One year,No
44,99.09,4359.96,Two year,No
10,59.19,591.9,Two year,No
28,83.35,2333.8,Two year,No
61,56.42,3441.62,Month-to-month,Yes
60,57.42,3445.2,One year,No
51,65.9,3360.9,Two year,No
27,103.07,2782.89,One year,No
60,83.49,5009.4,Month-to-month,No
15,82.71,1240.65,Month-to-month,Yes
67,103.49,6933.83,Two year,No
49,99.33,4867.17,Month-to-month,Yes
25,118.58,2964.5,One year,No
31,98.95,3067.45,Month-to-month,Yes
10,63.65,636.5,Two year,Yes
52,36.64,1905.28,One year,Yes
28,52.61,1473.08,Two year,Yes
57,110.22,6282.54,Month-to-month,Yes
16,88.38,1414.08,Two year,Yes
51,32.09,1636.59,One year,No
8,64.31,514.48,Month-to-month,No
1,72.27,72.27,Month-to-month,Yes
60,68.88,4132.8,One year,No
67,26.09,1748.03,One year,No
72,100.28,7220.16,One year,Yes
36,87.5,3150.0,One year,No
64,68.68,4395.52,One year,No
6,58.16,348.96,One year,No
2,88.87,177.74,Two year,No
4,84.22,336.88,One year,No
42,61.17,2569.14,One year,Yes
68,84.49,5745.32,Two year,No
32,41.64,1332.48,Month-to-month,Yes
38,74.25,2821.5,Two year,No
36,76.9,2768.4,One year,No
69,43.59,3007.71,Month-to-month,No
63,64.71,4076.73,One year,No
40,21.67,866.8,One year,No
36,112.62,4054.32,One year,No
2,68.52,137.04,Two year,Yes
53,119.73,6345.69,Month-to-month,Yes
41,45.13,1850.33,Month-to-month,Yes
18,31.64,569.52,Two year,Yes
7,36.26,253.82,One year,No
72,32.11,2311.92,One year,No
12,85.57,1026.84,One year,Yes
23,116.25,2673.75,Month-to-month,No
34,30.59,1040.06,One year,No
28,103.08,2886.24,Month-to-month,Yes
34,68.41,2325.94,One year,No
26,25.37,659.62,Month-to-month,No
64,96.8,6195.2,One year,No
2,26.0,52.0,Month-to-month,Yes
2,104.21,208.42,Month-to-month,Yes
48,45.27,2172.96,Month-to-month,Yes
16,111.36,1781.76,Month-to-month,Yes
44,119.79,5270.76,Two year,Yes
16,118.85,1901.6,Two year,No
40,111.33,4453.2,Month-to-month,Yes
72,92.55,6663.6,Month-to-month,No
72,63.7,4586.4,Month-to-month,Yes
6,88.21,529.26,One year,No
57,72.05,4106.85,Two year,No
65,44.47,2890.55,One year,No
47,115.9,5447.3,Two year,Yes
35,117.85,4124.75,Month-to-month,Yes
18,39.5,711.0,One year,No
49,60.43,2961.07,Two year,No
9,70.78,637.02,Two year,No
51,61.26,3124.26,Two year,Yes
64,76.15,4873.6,Two year,No
25,105.95,2648.75,Month-to-month,No
62,78.17,4846.54,Two year,No
18,70.68,1272.24,One year,No
6,35.03,210.18,Month-to-month,No
64,33.87,2167.68,One year,No
57,29.17,1662.69,Month-to-month,Yes
21,41.85,878.85,Two year,Yes
17,68.45,1163.65,Two year,Yes
12,73.38,880.56,Month-to-month,Yes
26,117.93,3066.18,Two year,No
37,36.65,1356.05,One year,No
66,57.22,3776.52,Two year,No
68,106.44,7237.92,One year,No
11,37.54,412.94,One year,No
39,33.65,1312.35,Month-to-month,No
35,24.05,841.75,One year,No
27,70.77,1910.79,Month-to-month,Yes
63,113.62,7158.06,One year,No
17,81.6,1387.2,Two year,No
43,118.56,5098.08,One year,Yes
6,54.47,326.82,Month-to-month,Yes
33,46.14,1522.62,One year,Yes
57,73.48,4188.36,One year,No
4,26.41,105.64,One year,No
28,51.58,1444.24,Month-to-month,No
22,47.71,1049.62,Month-to-month,Yes
24,86.13,2067.12,One year,No
8,80.87,646.96,One year,Yes
30,65.96,1978.8,Two year,No
5,79.45,397.25,Month-to-month,Yes
6,57.75,346.5,Month-to-month,Yes
36,116.42,4191.12,Month-to-month,No
41,112.63,4617.83,One year,No
40,117.81,4712.4,One year,No
17,52.63,894.71,One year,Yes
12,39.65,475.8,One year,No
1,78.65,78.65,One year,No
39,103.54,4038.06,One year,No
30,71.29,2138.7,One year,Yes
37,74.53,2757.61,Month-to-month,Yes
11,30.95,340.45,Month-to-month,Yes
53,52.89,2803.17,Month-to-month,No
33,105.57,3483.81,Month-to-month,Yes
6,79.65,477.9,Two year,No
59,82.33,4857.47,One year,No
11,43.05,473.55,Two year,No
48,100.2,4809.6,Month-to-month,Yes
13,102.8,1336.4,Month-to-month,Yes
63,45.1,2841.3,Two year,Yes
65,68.2,4433.0,One year,Yes
16,99.33,1589.28,Two year,No
31,57.28,1775.68,Two year,No
13,47.36,615.68,Two year,No
8,118.82,950.56,Month-to-month,Yes
26,68.67,1785.42,Month-to-month,Yes
50,116.62,5831.0,Month-to-month,Yes
7,113.25,792.75,Month-to-month,No
38,52.43,1992.34,Month-to-month,Yes
57,112.42,6407.94,Month-to-month,Yes
70,74.2,5194.0,Two year,Yes
33,24.61,812.13,Month-to-month,No
6,45.16,270.96,One year,No
24,91.02,2184.48,Two year,Yes
22,104.29,2294.38,One year,No
9,83.87,754.83,Month-to-month,Yes
72,68.0,4896.0,Two year,No
15,57.88,868.2,Two year,No
12,61.31,735.72,Two year,No
62,102.25,6339.5,Month-to-month,Yes
59,62.75,3702.25,One year,No
56,84.18,4714.08,Month-to-month,No
54,57.38,3098.52,Month-to-month,Yes
71,90.12,6398.52,Two year,No
55,31.51,1733.05,Month-to-month,Yes
1,96.79,96.79,One year,No
36,80.21,2887.56,Month-to-month,No
55,40.46,2225.3,Month-to-month,No
50,90.17,4508.5,Month-to-month,Yes
58,51.87,3008.46,One year,No
47,93.22,4381.34,Month-to-month,Yes
60,99.73,5983.8,One year,No
48,41.58,1995.84,One year,No
46,54.45,2504.7,Month-to-month,No
2,109.96,219.92,One year,Yes
69,107.28,7402.32,One year,No
52,28.45,1479.4,Month-to-month,Yes
44,86.62,3811.28,Two year,Yes
9,111.05,999.45,Month-to-month,Yes
51,51.51,2627.01,One year,Yes
31,66.73,2068.63,Month-to-month,No
67,60.95,4083.65,Two year,Yes
27,104.6,2824.2,Two year,Yes
36,38.19,1374.84,Month-to-month,Yes
24,80.59,1934.16,One year,No
39,56.14,2189.46,Month-to-month,Yes
71,22.55,1601.05,One year,No
44,115.39,5077.16,Month-to-month,Yes
28,77.22,2162.16,One year,No
55,80.7,4438.5,Month-to-month,Yes
11,115.9,1274.9,Two year,No
16,45.46,727.36,Month-to-month,Yes
55,89.78,4937.9,Month-to-month,No
20,58.51,1170.2,Month-to-month,Yes
63,57.14,3599.82,One year,No
18,36.49,656.82,One year,No
60,57.52,3451.2,Two year,No
15,86.4,1296.0,Two year,No
50,63.56,3178.0,One year,No
14,119.29,1670.06,One year,No
65,85.4,5551.0,Two year,Yes
45,97.78,4400.1,Two year,No
4,86.39,345.56,Month-to-month,Yes
20,41.85,837.0,Month-to-month,No
35,68.61,2401.35,Two year,No
51,52.11,2657.61,Two year,No
40,112.11,4484.4,Month-to-month,No
32,56.45,1806.4,Two year,Yes
37,31.17,1153.29,One year,No
28,54.04,1513.12,One year,No
59,79.2,4672.8,Month-to-month,Yes
40,101.67,4066.8,Two year,Yes
12,117.42,1409.04,Month-to-month,Yes
40,80.26,3210.4,One year,No
37,80.65,2984.05,One year,No
59,105.19,6206.21,Two year,Yes
65,66.44,4318.6,One year,Yes
12,60.07,720.84,One year,No
58,61.1,3543.8,One year,Yes
46,67.67,3112.82,Two year,No
64,104.62,6695.68,Two year,No
11,76.8,844.8,One year,No
39,104.39,4071.21,Month-to-month,Yes
65,73.08,4750.2,Month-to-month,Yes
35,85.46,2991.1,Month-to-month,Yes
25,101.85,2546.25,Month-to-month,Yes
13,113.28,1472.64,Two year,Yes
20,79.35,1587.0,Month-to-month,Yes
36,58.87,2119.32,One year,Yes
61,61.7,3763.7,One year,No
57,30.7,1749.9,Month-to-month,Yes
18,113.14,2036.52,Two year,Yes
63,37.53,2364.39,One year,No
54,58.32,3149.28,One year,No
59,40.41,2384.19,One year,No
18,63.3,1139.4,Month-to-month,Yes
72,82.18,5916.96,One year,Yes
13,70.84,920.92,Two year,No
47,29.99,1409.53,One year,No
42,68.71,2885.82,Month-to-month,Yes
15,29.33,439.95,Two year,No
40,84.21,3368.4,Month-to-month,Yes
66,25.05,1653.3,Month-to-month,No
54,119.45,6450.3,Month-to-month,No
55,70.88,3898.4,One year,Yes
1,45.92,45.92,Two year,No
27,69.46,1875.42,Two year,No
37,52.85,1955.45,Month-to-month,No
53,43.75,2318.75,Month-to-month,Yes
20,97.11,1942.2,Two year,No
52,97.46,5067.92,One year,No
12,28.25,339.0,Two year,No
2,38.33,76.66,Two year,No
54,55.43,2993.22,Month-to-month,No
31,52.39,1624.09,One year,No
64,41.3,2643.2,One year,No
39,55.66,2170.74,Two year,No
17,33.24,565.08,One year,Yes
63,73.13,4607.19,Month-to-month,Yes
71,99.26,7047.46,Month-to-month,Yes
39,89.9,3506.1,Two year,No
37,88.34,3268.58,Month-to-month,Yes
16,69.28,1108.48,Two year,No
46,77.3,3555.8,One year,Yes
18,108.99,1961.82,One year,No
10,29.68,296.8,Month-to-month,Yes
14,81.56,1141.84,Two year,Yes
65,78.22,5084.3,One year,Yes
51,40.44,2062.44,One year,Yes
50,29.17,1458.5,Month-to-month,Yes
24,48.64,1167.36,Two year,Yes
42,100.64,4226.88,One year,No
10,40.53,405.3,One year,No
37,101.36,3750.32,One year,No
56,21.66,1212.96,One year,No
56,47.74,2673.44,One year,Yes
63,61.23,3857.49,One year,No
33,100.86,3328.38,Month-to-month,Yes
7,106.82,747.74,One year,Yes
14,97.2,1360.8,Month-to-month,Yes
59,104.63,6173.17,Two year,Yes
33,94.68,3124.44,Two year,No
65,92.17,5991.05,One year,Yes
9,57.84,520.56,One year,Yes
67,33.57,2249.19,Month-to-month,No
30,58.99,1769.7,Two year,Yes
7,62.38,436.66,Month-to-month,Yes
11,108.48,1193.28,One year,No
42,59.13,2483.46,Month-to-month,No
69,59.54,4108.26,Two year,Yes
49,39.38,1929.62,One year,No
13,51.85,674.05,One year,No
39,53.56,2088.84,Two year,No
63,55.5,3496.5,Month-to-month,No
30,41.57,1247.1,One year,No
44,79.18,3483.92,One year,No
34,118.59,4032.06,One year,No
59,62.69,3698.71,Month-to-month,Yes
19,61.95,1177.05,Two year,Yes
63,105.21,6628.23,Month-to-month,No
66,46.1,3042.6,Two year,Yes
40,78.37,3134.8,One year,No
13,21.48,279.24,Two year,No
31,46.67,1446.77,Two year,No
1,101.85,101.85,Month-to-month,Yes
9,83.68,753.12,One year,No
35,94.44,3305.4,Two year,Yes
26,102.27,2659.02,Month-to-month,No
22,54.56,1200.32,One year,No
18,98.02,1764.36,One year,Yes
69,81.4,5616.6,Month-to-month,Yes
64,32.42,2074.88,Two year,Yes
2,83.94,167.88,One year,No
5,52.83,264.15,Two year,No
53,103.06,5462.18,Two year,Yes
61,59.1,3605.1,Two year,No
71,23.34,1657.14,Two year,No
26,20.29,527.54,Month-to-month,Yes
19,105.66,2007.54,One year,Yes
72,48.22,3471.84,One year,No
53,40.32,2136.96,One year,No
45,25.68,1155.6,Two year,Yes
27,83.67,2259.09,Two year,No
18,20.01,360.18,Month-to-month,Yes
63,75.97,4786.11,Month-to-month,Yes
23,65.79,1513.17,Two year,No
59,81.26,4794.34,Month-to-month,No
31,83.09,2575.79,Month-to-month,No
5,101.97,509.85,Month-to-month,No
40,105.04,4201.6,One year,No
42,105.0,4410.0,Month-to-month,No
38,27.62,1049.56,Month-to-month,No
64,110.33,7061.12,One year,No
38,83.99,3191.62,One year,No
58,76.62,4443.96,Two year,No
48,88.96,4270.08,Two year,Yes
1,100.47,100.47,Two year,No
51,22.49,1146.99,Two year,Yes
26,46.64,1212.64,Two year,No
42,84.49,3548.58,Month-to-month,Yes
69,72.09,4974.21,Month-to-month,Yes
54,45.08,2434.32,One year,No
62,64.98,4028.76,One year,No
39,32.96,1285.44,Month-to-month,Yes
59,95.52,5635.68,Two year,No
2,115.31,230.62,One year,Yes
11,58.19,640.09,Two year,No
29,40.83,1184.07,One year,No
31,89.71,2781.01,One year,No
52,65.68,3415.36,One year,Yes
68,100.55,6837.4,Two year,No
6,101.63,609.78,Month-to-month,Yes
61,44.84,2735.24,One year,No
4,93.34,373.36,Two year,No
46,118.06,5430.76,Two year,No
1,119.66,119.66,One year,Yes
38,53.43,2030.34,One year,No
45,54.93,2471.85,Month-to-month,Yes
55,79.84,4391.2,One year,No
31,89.66,2779.46,One year,No
16,36.29,580.64,Two year,No
37,116.65,4316.05,Month-to-month,Yes
2,66.36,132.72,One year,No
29,30.6,887.4,Month-to-month,Yes
60,57.18,3430.8,One year,No
14,49.2,688.8,Month-to-month,Yes
61,90.09,5495.49,Month-to-month,No
3,76.96,230.88,Two year,No
40,117.99,4719.6,One year,No
40,23.11,924.4,Two year,Yes
5,82.88,414.4,One year,No
37,41.26,1526.62,Month-to-month,No
53,73.39,3889.67,Month-to-month,No
46,35.79,1646.34,Two year,No
57,116.22,6624.54,Two year,No
71,73.05,5186.55,Two year,No
71,59.36,4214.56,One year,Yes
7,97.37,681.59,Two year,No
40,90.66,3626.4,Month-to-month,Yes
32,76.02,2432.64,One year,Yes
40,55.23,2209.2,Two year,Yes
21,104.7,2198.7,Month-to-month,No
15,92.84,1392.6,Two year,Yes
20,43.41,868.2,Month-to-month,No
49,58.22,2852.78,Two year,No
8,72.1,576.8,Two year,No
47,20.29,953.63,One year,Yes
46,44.8,2060.8,Two year,No
53,114.31,6058.43,Two year,No
26,66.37,1725.62,Month-to-month,Yes
33,44.62,1472.46,Month-to-month,No
5,102.7,513.5,Month-to-month,Yes
69,30.97,2136.93,Two year,No
18,84.01,1512.18,Two year,No
72,81.35,5857.2,Two year,No
35,86.86,3040.1,Month-to-month,Yes
65,107.25,6971.25,One year,No
62,50.7,3143.4,Month-to-month,Yes
65,42.33,2751.45,One year,No
72,100.71,7251.12,Two year,No
19,74.63,1417.97,One year,No
1,96.69,96.69,Two year,No
22,71.96,1583.12,Two year,No
55,69.79,3838.45,One year,Yes
30,63.3,1899.0,Two year,No
68,60.63,4122.84,Month-to-month,No
25,92.34,2308.5,Two year,Yes
53,77.32,4097.96,Month-to-month,Yes
33,67.68,2233.44,One year,No
13,102.35,1330.55,Month-to-month,Yes
7,49.79,348.53,Month-to-month,No
28,28.63,801.64,Month-to-month,No
72,116.47,8385.84,Two year,No
60,61.06,3663.6,Two year,No
70,25.16,1761.2,Month-to-month,No
32,87.03,2784.96,One year,No
57,63.68,3629.76,Two year,No
61,43.88,2676.68,Month-to-month,Yes
13,106.24,1381.12,Two year,No
44,110.98,4883.12,One year,No
54,112.84,6093.36,One year,No
30,107.54,3226.2,Month-to-month,No
37,25.67,949.79,Two year,Yes
13,80.67,1048.71,One year,No
35,56.0,1960.0,Two year,No
56,36.96,2069.76,One year,Yes
23,58.49,1345.27,One year,No
6,115.03,690.18,One year,No
41,21.68,888.88,Month-to-month,Yes
2,88.6,177.2,Two year,No
63,51.28,3230.64,One year,No
61,115.29,7032.69,Two year,Yes
44,115.85,5097.4,One year,No
68,108.4,7371.2,One year,Yes
11,117.5,1292.5,Two year,Yes
32,31.51,1008.32,Two year,No
2,59.38,118.76,Month-to-month,Yes
56,83.63,4683.28,One year,Yes
39,118.75,4631.25,Two year,Yes
30,79.28,2378.4,One year,No
19,98.12,1864.28,One year,No
27,20.12,543.24,Month-to-month,No
17,33.72,573.24,Two year,Yes
67,97.44,6528.48,Month-to-month,Yes
16,71.87,1149.92,Two year,No
60,46.27,2776.2,Two year,Yes
50,77.4,3870.0,Month-to-month,Yes
72,46.4,3340.8,Two year,Yes
5,39.28,196.4,One year,No
9,61.49,553.41,Two year,No
6,82.03,492.18,Two year,No
49,24.27,1189.23,Month-to-month,Yes
1,75.78,75.78,Month-to-month,Yes
72,87.37,6290.64,Two year,No
18,72.08,1297.44,Month-to-month,No
55,93.47,5140.85,Two year,No
5,111.06,555.3,Month-to-month,Yes
32,79.12,2531.84,Two year,No
16,111.39,1782.24,Month-to-month,Yes
24,25.72,617.28,Two year,No
62,22.92,1421.04,Two year,No
19,107.74,2047.06,Month-to-month,Yes
33,102.48,3381.84,Month-to-month,Yes
5,91.78,458.9,One year,No
6,25.06,150.36,One year,No
59,111.47,6576.73,One year,No
55,83.44,4589.2,One year,Yes
65,22.5,1462.5,Month-to-month,Yes
12,38.36,460.32,One year,No
4,29.22,116.88,Month-to-month,Yes
63,94.45,5950.35,Month-to-month,Yes
68,59.11,4019.48,Two year,No
57,40.15,2288.55,One year,No
4,103.85,415.4,Month-to-month,No
66,53.97,3562.02,Two year,Yes
40,42.92,1716.8,Two year,No
42,108.8,4569.6,Two year,No
19,29.53,561.07,Two year,Yes
30,99.21,2976.3,Two year,No
4,83.06,332.24,One year,Yes
70,70.41,4928.7,Month-to-month,Yes
68,77.34,5259.12,Two year,No
49,111.27,5452.23,Month-to-month,Yes
13,24.54,319.02,Month-to-month,No
60,58.32,3499.2,Month-to-month,No
59,111.06,6552.54,Two year,No
64,76.28,4881.92,One year,Yes
48,56.29,2701.92,Two year,No
25,80.67,2016.75,Two year,Yes
27,58.42,1577.34,Month-to-month,Yes
45,26.3,1183.5,Month-to-month,Yes
18,96.74,1741.32,Two year,Yes
64,28.89,1848.96,Month-to-month,No
6,32.5,195.0,Month-to-month,Yes
65,54.4,3536.0,One year,No
45,24.95,1122.75,Two year,No
16,96.57,1545.12,Month-to-month,Yes
20,61.49,1229.8,Month-to-month,No
20,118.96,2379.2,Month-to-month,No
31,80.83,2505.73,Two year,No
8,73.73,589.84,Month-to-month,Yes
53,107.42,5693.26,Month-to-month,Yes
63,52.3,3294.9,Month-to-month,Yes
27,28.58,771.66,Month-to-month,Yes
69,48.83,3369.27,Month-to-month,No
43,69.59,2992.37,Month-to-month,Yes
62,75.57,4685.34,Two year,No
36,95.31,3431.16,One year,No
31,94.45,2927.95,One year,No
2,110.31,220.62,Two year,No
19,50.94,967.86,Month-to-month,Yes
53,31.91,1691.23,One year,No
10,62.03,620.3,Month-to-month,Yes
6,99.25,595.5,Two year,No
27,42.66,1151.82,Two year,Yes
36,83.18,2994.48,Two year,Yes
15,88.92,1333.8,Month-to-month,Yes
61,102.99,6282.39,One year,Yes
45,57.09,2569.05,Two year,No
52,56.9,2958.8,Month-to-month,No
24,53.67,1288.08,One year,Yes
68,117.32,7977.76,Two year,No
32,88.82,2842.24,Month-to-month,No
31,35.15,1089.65,One year,No
56,50.02,2801.12,One year,No
5,55.81,279.05,Two year,No
23,49.52,1138.96,Two year,No
46,74.54,3428.84,Two year,Yes
37,70.48,2607.76,Two year,Yes
59,70.61,4165.99,One year,Yes
31,63.43,1966.33,One year,No
23,49.65,1141.95,Two year,No
33,100.89,3329.37,Month-to-month,Yes
68,20.31,1381.08,Two year,No
7,80.53,563.71,One year,No
64,97.17,6218.88,Month-to-month,Yes
11,95.66,1052.26,One year,No
62,26.66,1652.92,Month-to-month,Yes
1,48.38,48.38,One year,Yes
42,64.91,2726.22,One year,No
60,90.67,5440.2,One year,No
51,42.65,2175.15,Month-to-month,Yes
34,81.64,2775.76,One year,No
1,23.32,23.32,Month-to-month,No
19,60.63,1151.97,Two year,No
34,23.86,811.24,One year,No
29,53.39,1548.31,Month-to-month,Yes
10,25.5,255.0,One year,No
34,84.13,2860.42,Month-to-month,No
10,54.69,546.9,Month-to-month,No
71,91.51,6497.21,One year,No
61,107.64,6566.04,Two year,No
12,103.33,1239.96,Two year,No
65,79.15,5144.75,One year,No
18,38.65,695.7,One year,Yes
55,36.6,2013.0,Two year,Yes
72,100.32,7223.04,Month-to-month,Yes
30,33.6,1008.0,Two year,Yes
38,90.49,3438.62,Month-to-month,No
39,62.23,2426.97,One year,No
48,78.63,3774.24,Two year,No
63,80.87,5094.81,One year,No
68,77.73,5285.64,One year,Yes
43,108.98,4686.14,One year,Yes
46,107.01,4922.46,Month-to-month,Yes
35,68.58,2400.3,Month-to-month,No
67,21.75,1457.25,Two year,No
59,97.04,5725.36,Month-to-month,Yes
10,111.11,1111.1,Month-to-month,No
27,114.6,3094.2,One year,No
50,87.86,4393.0,One year,No
45,55.07,2478.15,Two year,No
16,24.31,388.96,Two year,No
54,22.67,1224.18,One year,No
61,20.15,1229.15,Month-to-month,Yes
62,98.26,6092.12,One year,No
67,25.8,1728.6,One year,No
51,118.56,6046.56,Month-to-month,No
51,88.71,4524.21,One year,Yes
39,94.23,3674.97,One year,Yes
39,91.21,3557.19,Month-to-month,No
49,47.77,2340.73,Two year,No
58,92.44,5361.52,One year,No
47,90.4,4248.8,Month-to-month,Yes
8,32.92,263.36,Two year,No
54,74.59,4027.86,One year,No
37,63.94,2365.78,One year,No
71,49.25,3496.75,Month-to-month,Yes
64,68.56,4387.84,One year,Yes
44,91.14,4010.16,Two year,No
40,75.18,3007.2,Month-to-month,Yes
27,81.4,2197.8,Month-to-month,Yes
21,46.44,975.24,Month-to-month,Yes
18,34.66,623.88,Month-to-month,Yes
62,95.16,5899.92,One year,No
69,115.11,7942.59,One year,Yes
50,43.94,2197.0,One year,No
35,58.45,2045.75,Month-to-month,Yes
5,90.85,454.25,Month-to-month,No
44,65.92,2900.48,Two year,No
57,29.95,1707.15,One year,No
69,66.83,4611.27,Two year,Yes
16,72.75,1164.0,Month-to-month,Yes
42,56.64,2378.88,One year,No
22,27.95,614.9,Two year,Yes
57,70.12,3996.84,Month-to-month,Yes
55,77.51,4263.05,Month-to-month,Yes
39,46.38,1808.82,One year,Yes
3,62.35,187.05,One year,No
51,60.39,3079.89,Month-to-month,No
